,activity,name,location,type,unit,code
0,1462,"Composting of paper and wood, incl. land application",CZ,process,ton,"CZ-Composting of paper and wood, incl. land application"
1,6202,Research and development,ES,process,Meuro,ES-Research and development (73)
2,2162,Mining of other non-ferrous metal ores and concentrates,DE,process,ton,DE-Mining of other non-ferrous metal ores and concentrates
3,5308,N-fertiliser,RU,process,ton,RU-N-fertiliser
4,328,Cultivation of paddy rice,BE,process,ton,BE-Cultivation of paddy rice
5,3052,Production of electricity by petroleum and other oil derivatives,ID,process,TJ,ID-Production of electricity by petroleum and other oil derivatives
6,2801,Raw milk,IN,process,ton,IN-Raw milk
7,1835,Quarrying of stone,FI,process,ton,FI-Quarrying of stone
8,4716,Inland water transport,NO,process,Meuro,NO-Inland water transport
9,4395,Real estate activities,MX,process,Meuro,MX-Real estate activities (70)
10,3390,Distribution of gaseous fuels through mains,IT,process,Meuro,IT-Distribution of gaseous fuels through mains
11,973,Landfill of waste: Food,CA,process,ton,CA-Landfill of waste: Food
12,4751,Activities of membership organisation n.e.c.,NO,process,Meuro,NO-Activities of membership organisation n.e.c. (91)
13,3719,Steam and hot water supply,LV,process,TJ,LV-Steam and hot water supply
14,6188,Transport via railways,ES,process,Meuro,ES-Transport via railways
15,2348,Re-processing of secondary paper into new pulp,GR,process,ton,GR-Re-processing of secondary paper into new pulp
16,80,Re-processing of secondary copper into new copper,AU,process,ton,AU-Re-processing of secondary copper into new copper
17,1674,Processing of meat cattle,EE,process,ton,EE-Processing of meat cattle
18,6569,Pigs farming,TR,process,ton,TR-Pigs farming
19,2631,Cultivation of crops nec,HR,process,ton,HR-Cultivation of crops nec
20,6091,Mining of uranium and thorium ores,ES,process,ton,ES-Mining of uranium and thorium ores (12)
21,3731,Sea and coastal water transport,LV,process,Meuro,LV-Sea and coastal water transport
22,7685,Incineration of waste: Plastic,WF,process,ton,WF-Incineration of waste: Plastic
23,6268,Processing of meat poultry,SE,process,ton,SE-Processing of meat poultry
24,1344,Quarrying of sand and clay,CZ,process,ton,CZ-Quarrying of sand and clay
25,4587,Activities of membership organisation n.e.c.,NL,process,Meuro,NL-Activities of membership organisation n.e.c. (91)
26,5019,Production of electricity by wind,PT,process,TJ,PT-Production of electricity by wind
27,3084,Renting of machinery and equipment without operator and of personal and household goods,ID,process,Meuro,ID-Renting of machinery and equipment without operator and of personal and household goods (71)
28,2178,Manufacture of textiles,DE,process,ton,DE-Manufacture of textiles (17)
29,5640,Manufacture of glass and glass products,SI,process,ton,SI-Manufacture of glass and glass products
30,3467,Mining of uranium and thorium ores,JP,process,ton,JP-Mining of uranium and thorium ores (12)
31,7577,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",WF,process,ton,"WF-Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
32,6447,Pulp,CH,process,ton,CH-Pulp
33,7757,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",WM,process,ton,"WM-Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
34,7495,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",WE,process,Meuro,"WE-Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
35,4516,"Manufacture of radio, television and communication equipment and apparatus",NL,process,ton,"NL-Manufacture of radio, television and communication equipment and apparatus (32)"
36,1234,Manufacture of office machinery and computers,CY,process,ton,CY-Manufacture of office machinery and computers (30)
37,3492,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",JP,process,ton,"JP-Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
38,5539,Post and telecommunications,SK,process,Meuro,SK-Post and telecommunications (64)
39,5849,Manufacture of gas;,ZA,process,ton,ZA-Manufacture of gas;
40,580,"Manufacture of radio, television and communication equipment and apparatus",BR,process,ton,"BR-Manufacture of radio, television and communication equipment and apparatus (32)"
41,3436,Landfill of waste: Inert/metal/hazardous,IT,process,ton,IT-Landfill of waste: Inert/metal/hazardous
42,6030,Supporting and auxiliary transport activities; activities of travel agencies,KR,process,Meuro,KR-Supporting and auxiliary transport activities; activities of travel agencies (63)
43,3209,Recycling of waste and scrap,IE,process,Meuro,IE-Recycling of waste and scrap
44,1985,"Forestry, logging and related service activities",FR,process,ton,"FR-Forestry, logging and related service activities (02)"
45,3924,"Waste water treatment, other",LT,process,ton,"LT-Waste water treatment, other"
46,3431,"Waste water treatment, food",IT,process,ton,"IT-Waste water treatment, food"
47,5727,"Waste water treatment, food",SI,process,ton,"SI-Waste water treatment, food"
48,4573,Incineration of waste: Oil/Hazardous waste,NL,process,ton,NL-Incineration of waste: Oil/Hazardous waste
49,2325,"Mining of lead, zinc and tin ores and concentrates",GR,process,ton,"GR-Mining of lead, zinc and tin ores and concentrates"
50,6289,Processing of nuclear fuel,SE,process,TJ,SE-Processing of nuclear fuel
51,4305,Sugar refining,MX,process,ton,MX-Sugar refining
52,2984,Quarrying of sand and clay,ID,process,ton,ID-Quarrying of sand and clay
53,4712,Transport via railways,NO,process,Meuro,NO-Transport via railways
54,41,Sugar refining,AU,process,ton,AU-Sugar refining
55,4373,Manufacture of gas;,MX,process,ton,MX-Manufacture of gas;
56,3873,Production of electricity by biomass and waste,LT,process,TJ,LT-Production of electricity by biomass and waste
57,2315,Mining of coal and lignite; extraction of peat,GR,process,ton,GR-Mining of coal and lignite; extraction of peat (10)
58,4748,Landfill of waste: Inert/metal/hazardous,NO,process,ton,NO-Landfill of waste: Inert/metal/hazardous
59,739,Casting of metals,BG,process,ton,BG-Casting of metals
60,5142,"Plastics, basic",RO,process,ton,"RO-Plastics, basic"
61,1772,Renting of machinery and equipment without operator and of personal and household goods,EE,process,Meuro,EE-Renting of machinery and equipment without operator and of personal and household goods (71)
62,4392,"Financial intermediation, except insurance and pension funding",MX,process,Meuro,"MX-Financial intermediation, except insurance and pension funding (65)"
63,6889,Cultivation of wheat,US,process,ton,US-Cultivation of wheat
64,6776,Re-processing of secondary paper into new pulp,GB,process,ton,GB-Re-processing of secondary paper into new pulp
65,860,Processed rice,CA,process,ton,CA-Processed rice
66,193,"Mining of lead, zinc and tin ores and concentrates",AT,process,ton,"AT-Mining of lead, zinc and tin ores and concentrates"
67,7771,Manufacture of rubber and plastic products,WM,process,ton,WM-Manufacture of rubber and plastic products (25)
68,350,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",BE,process,ton,"BE-Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
69,3646,Processing vegetable oils and fats,LV,process,ton,LV-Processing vegetable oils and fats
70,7019,Real estate activities,US,process,Meuro,US-Real estate activities (70)
71,6648,"Manufacture of radio, television and communication equipment and apparatus",TR,process,ton,"TR-Manufacture of radio, television and communication equipment and apparatus (32)"
72,6480,"Manufacture of fabricated metal products, except machinery and equipment",CH,process,ton,"CH-Manufacture of fabricated metal products, except machinery and equipment (28)"
73,4285,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",MX,process,ton,"MX-Extraction of natural gas and services related to natural gas extraction, excluding surveying"
74,7146,Recycling of bottles by direct reuse,WA,process,ton,WA-Recycling of bottles by direct reuse
75,1591,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",DK,process,Meuro,"DK-Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
76,411,Casting of metals,BE,process,ton,BE-Casting of metals
77,2985,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",ID,process,ton,"ID-Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
78,1415,Production of electricity by solar thermal,CZ,process,TJ,CZ-Production of electricity by solar thermal
79,6836,"Collection, purification and distribution of water",GB,process,Meuro,"GB-Collection, purification and distribution of water (41)"
80,3864,Manufacture of furniture; manufacturing n.e.c.,LT,process,ton,LT-Manufacture of furniture; manufacturing n.e.c. (36)
81,3952,"Manure treatment (biogas), storage and land application",LU,process,ton,"LU-Manure treatment (biogas), storage and land application"
82,1048,Manufacture of glass and glass products,CN,process,ton,CN-Manufacture of glass and glass products
83,5616,Processed rice,SI,process,ton,SI-Processed rice
84,882,Chemicals nec,CA,process,ton,CA-Chemicals nec
85,4574,"Biogasification of food waste, incl. land application",NL,process,ton,"NL-Biogasification of food waste, incl. land application"
86,974,Landfill of waste: Paper,CA,process,ton,CA-Landfill of waste: Paper
87,113,Construction,AU,process,Meuro,AU-Construction (45)
88,3196,Re-processing of secondary copper into new copper,IE,process,ton,IE-Re-processing of secondary copper into new copper
89,797,Incineration of waste: Plastic,BG,process,ton,BG-Incineration of waste: Plastic
90,5922,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",KR,process,ton,"KR-Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
91,7535,Landfill of waste: Plastic,WE,process,ton,WE-Landfill of waste: Plastic
92,6873,"Composting of food waste, incl. land application",GB,process,ton,"GB-Composting of food waste, incl. land application"
93,7693,"Composting of food waste, incl. land application",WF,process,ton,"WF-Composting of food waste, incl. land application"
94,5111,Mining of aluminium ores and concentrates,RO,process,ton,RO-Mining of aluminium ores and concentrates
95,2374,Re-processing of secondary lead into new lead,GR,process,ton,GR-Re-processing of secondary lead into new lead
96,4298,Processing of meat cattle,MX,process,ton,MX-Processing of meat cattle
97,3381,Production of electricity by biomass and waste,IT,process,TJ,IT-Production of electricity by biomass and waste
98,6028,Inland water transport,KR,process,Meuro,KR-Inland water transport
99,713,Processing of nuclear fuel,BG,process,TJ,BG-Processing of nuclear fuel
100,6477,Other non-ferrous metal production,CH,process,ton,CH-Other non-ferrous metal production
101,7612,"Manufacture of cement, lime and plaster",WF,process,ton,"WF-Manufacture of cement, lime and plaster"
102,1572,Production of electricity by gas,DK,process,TJ,DK-Production of electricity by gas
103,6796,Re-processing of secondary steel into new steel,GB,process,ton,GB-Re-processing of secondary steel into new steel
